ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS
976	1.6 3.0 1.0	jɔ̀	jɔ̀	dʒ ɔ ¹		2	dʒ ɔ ¹	jɔ̀	1	1 7 8	878	AXT	2.T.C 2.U.V 2.6.T			Bambara	TU6	BUILD	Dog!
977	2.0 1.5 0.8 0.0 1.5 1.75 0.8	sum-ude	sumude	s u !- m !- ( + u d e )	burn	18	s u m + u d e	sum-ude	0	3 7 4 9 7 1 7	907	AXN_XBZ	18.S.C 18.Y.V 18.M.c 18._._ 18.Y.V 18.T.C 18.E.V	brûler	141	Fulfulde	SYM_YTE	BURN (SOMETHING)	
978	2.0 1.5 0.8	boi	boi	b ( - ) o ( i )	burn	6	b o i	boi	0	1 7 7	899	AXZ	6.P.C 6.U.V 6.I.V	brûler	141	Bozo_Debo	PUI	BURN (SOMETHING)	
979	2.0 1.5 1.5	bwɔ	bwɔ	b ( w ) ɔ ( - )	burn	7	b w ɔ	bwɔ	0	1 6 7	899	ACX	7.P.C 7.W.C 7.U.V	brûler	141	Bozo_Hainyaxo	PWU	BURN (SOMETHING)	
980	2.0 1.5	bo	bo	b ( - ) o ( - )	burn	8	b o	bo	0	1 7	899	AX	8.P.C 8.U.V	brûler	141	Bozo_Korondougou_nord	PU	BURN (SOMETHING)	
981	2.0 1.5	bo	bo	b ( - ) o ( - )	burn	9	b o	bo	0	1 7	899	AX	9.P.C 9.U.V	brûler	141	Bozo_Korondougou_sud	PU	BURN (SOMETHING)	
982	2.0 1.5	bo	bo	b ( - ) o ( - )	burn	10	b o	bo	0	1 7	899	AX	10.P.C 10.U.V	brûler	141	Bozo_Kotya	PU	BURN (SOMETHING)	
983	2.0 1.5	bo	bo	b ( - ) o ( - )	burn	11	b o	bo	0	1 7	899	AX	11.P.C 11.U.V	brûler	141	Bozo_Pondori_nord	PU	BURN (SOMETHING)	
984	2.0 1.5	bo	bo	b ( - ) o ( - )	burn	14	b o	bo	0	1 7	899	AX	14.P.C 14.U.V	brûler	141	Bozo_Tieyaxo	PU	BURN (SOMETHING)	
985	2.0 1.5 0.8	boi	boi	b ( - ) o ( i )	burn	13	b o i	boi	0	1 7 7	899	AXZ	13.P.C 13.U.V 13.I.V	brûler	141	Bozo_Tiema_Cewe	PUI	BURN (SOMETHING)	
986	1.6 3.0 1.0 1.3 3.0 1.0	bíyí	bíyí	b - - i ( ⁵ j i ⁵ )	burn	29	b i ⁵ j i ⁵	bíyí	0	1 7 8 6 7 8	918	AXTBYT	29.P.C 29.I.V 29.6.T 29.J.C 29.I.V 29.6.T	brûler	141	Soninke	PI6JI6	BURN (SOMETHING)	
987	1.6 3.0 1.0 0.5 0.0 1.6 1.2 3.0 1.0	pùr-ndà	pùr-ndà (1)	p u ¹ r + n d a ¹	burn (incense)	3	p u ¹ r + n d a ¹	pùr-ndà	0	1 7 8 5 9 4 1 7 8	896	AXTN_ACYT	3.P.C 3.Y.V 3.6.T 3.R.c 3._._ 3.N.C 3.T.C 3.A.V 3.6.T	brûler (encens)	141	Bangime	PY6R_NTA6	BURN (SOMETHING)	
988	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	kúwó-mí	kúwó-mí	k u ⁵ w o ⁵ + m i ⁵	burn (e.g. paper, grass, fabric)	24	k u ⁵ w o ⁵ + m i ⁵	kúwó-mí	0	1 7 8 6 7 8 9 4 7 8	913	AXTBYT_AXT	24.K.C 24.Y.V 24.6.T 24.W.C 24.U.V 24.6.T 24._._ 24.M.C 24.I.V 24.6.T	brûler (papier, herbe, tissu, etc.)	141	Nanga	KY6WU6_MI6	BURN (SOMETHING)	
989	1.6 3.0 1.0	dɛ̌:	dɛ̌:	d ɛː ¹⁵ ( - )	burn (e.g. paper, grass, fabric)	26	d ɛː ¹⁵	dɛ̌:	0	1 7 8	897	AXT	26.T.C 26.E.V 26.2.T	brûler (papier, herbe, tissu, etc.)	141	Perge_Tegu	TE2	BURN (SOMETHING)	
990	1.6 3.0 1.0 1.3 3.0 1.0	tɛ́:rì	tɛ́:rì	t ɛː ⁵ ( - - - - ) r ɛ ¹	burn (e.g. paper, grass, fabric)	32	t ɛː ⁵ r i ¹	tɛ́:rì	0	1 7 8 5 7 8	908	AXTBYT	32.T.C 32.E.V 32.6.T 32.R.C 32.I.V 32.6.T	brûler (papier, herbe, tissu, etc.)	141	Togo_Kan	TE6RI6	BURN (SOMETHING)	
991	1.6 3.0 1.0	dɛ̌:	dɛ̌:-	d ɛː ¹⁵ ( - )	burn (e.g. paper, grass, fabric)	37	d ɛː ¹⁵	dɛ̌:	0	1 7 8	897	AXT	37.T.C 37.E.V 37.2.T	brûler (papier, herbe, tissu, etc.)	141	Yorno_So	TE2	BURN (SOMETHING)	
992	1.6 3.0 1.0 1.1 1.3 3.0 1.0	dìyⁿɛ́	dìyⁿɛ́	d i ¹ - - - ( + j ∼ ɛ ⁵ )	burn (e.g. paper, grass, fabric)	33	d i ¹ j ∼ ɛ ⁵	dìyⁿɛ́	0	1 7 8 6 4 7 8	922	AXTMBYT	33.T.C 33.I.V 33.6.T 33.J.c 33.9.C 33.E.V 33.6.T	brûler (papier, herbe, tissu, etc.)	141	Tommo_So	TI6J9E6	BURN (SOMETHING)	
993	1.6 3.0 1.0 0.5	tón	tón (tón-tì-)	t o ⁵ ( n )	burn (e.g. paper, grass, fabric)	30	t o ⁵ n	tón	0	1 7 8 4	897	AXTN	30.T.C 30.U.V 30.6.T 30.N.c	brûler (papier, herbe, tissu, etc.)	141	Tebul_Ure	TU6N	BURN (SOMETHING)	
994	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	gòlò_kún-dó	gòlò kún-dó	d a ⁵¹ n !- !-	burn (e.g. paper, grass, fabric)	36	ɡ o ¹ l o ¹ _ k u ⁵ n + d o ⁵	gòlò_kún-dó	0	1 7 8 5 7 8 9 1 7 8 4 9 1 7 8	895	AXTBYT_AXTN_AXT	36.K.C 36.U.V 36.6.T 36.L.C 36.U.V 36.6.T 36._._ 36.K.C 36.Y.V 36.6.T 36.N.c 36._._ 36.T.C 36.U.V 36.6.T	brûler (papier, herbe, tissu, etc.)	141	Yanda_Dom	KU6LU6_KY6N_TU6	BURN (SOMETHING)	
995	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	tógá-ndí	tógá-ndí	t o ⁵ ɡ a ⁵ + n d i ⁵	burn (e.g. paper, grass, fabric)	23	t o ⁵ ɡ a ⁵ + n d i ⁵	tógá-ndí	0	1 7 8 1 7 8 9 4 1 7 8	912	AXTBYT_ACYT	23.T.C 23.U.V 23.6.T 23.K.C 23.A.V 23.6.T 23._._ 23.N.C 23.T.C 23.I.V 23.6.T	brûler (papier, herbe, tissu, etc.)	141	Najamba	TU6KA6_NTI6	BURN (SOMETHING)	
996	1.6 3.0 1.0 1.3 3.0 1.0	já:dò	já:dò (jà:dé, jà:dè:-rí)	dʒ aː ⁵ d o ¹	burn (e.g. paper, grass, fabric)	1	dʒ aː ⁵ d o ¹	já:dò	0	1 7 8 1 7 8	895	AXTBYT	1.T.C 1.A.V 1.6.T 1.T.C 1.U.V 1.6.T	brûler (papier, herbe, tissu, etc.)	141	Ampari	TA6TU6	BURN (SOMETHING)	
997	1.6 3.0 1.0 1.1 1.3 3.0 1.0	súmbɛ̀	súmbɛ̀	s u ⁵ m b ( - ɛ ¹ - )	burn (e.g. paper, grass, fabric)	15	s u ⁵ m b ɛ ¹	súmbɛ̀	0	3 7 8 4 1 7 8	907	AXTMBYT	15.S.C 15.Y.V 15.6.T 15.M.c 15.P.C 15.E.V 15.6.T	brûler (papier, herbe, tissu, etc.)	141	Bunoge	SY6MPE6	BURN (SOMETHING)	FUL
998	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	tɛ́gɛ̀-rɛ̀	tɛ́gɛ̀-rɛ̀	t ɛ ⁵ ( ɡ ɛ ¹ + ) r ɛ ¹	burn (e.g. paper, grass, fabric)	17	t ɛ ⁵ ɡ ɛ ¹ + r ɛ ¹	tɛ́gɛ̀-rɛ̀	0	1 7 8 1 7 8 9 5 7 8	908	AXTBYT_AXT	17.T.C 17.E.V 17.6.T 17.K.C 17.E.V 17.6.T 17._._ 17.R.C 17.E.V 17.6.T	brûler (papier, herbe, tissu, etc.)	141	Donno_So	TE6KE6_RE6	BURN (SOMETHING)	
999	1.6 3.0 1.0 1.3 3.0 1.0	súwó	súwó (Boui), súbó (Ningo), táŋgá-m(ú)	s u ⁵ w !- ( - o ⁵ - )	burn (e.g. paper, grass, fabric)	31	s u ⁵ w o ⁵	súwó	0	3 7 8 6 7 8	907	AXTBYT	31.S.C 31.Y.V 31.6.T 31.W.C 31.U.V 31.6.T	brûler (papier, herbe, tissu, etc.)	141	Tiranige_Diga	SY6WU6	BURN (SOMETHING)	FUL
1000	1.6 3.0 1.0 1.3 3.0 1.0	yá:rè	yá:rè	j aː ⁵ r e ¹ ( - - - - - )	burn (e.g. paper, grass, fabric)	22	j aː ⁵ r e ¹	yá:rè	0	6 7 8 5 7 8	911	AXTBYT	22.J.C 22.A.V 22.6.T 22.R.C 22.E.V 22.6.T	brûler (papier, herbe, tissu, etc.)	141	Mombo	JA6RE6	BURN (SOMETHING)	
1001	1.6 3.0 1.0	dɔ́	dɔ́	d ɔ ⁵ ( - )	burn (e.g. paper, grass, fabric)	5	d ɔ ⁵	dɔ́	0	1 7 8	897	AXT	5.T.C 5.U.V 5.6.T	brûler (papier, herbe, tissu, etc.)	141	Ben_Tey	TU6	BURN (SOMETHING)	
1002	1.6 3.0 1.0	dɔ́	dɔ́	d ɔ ⁵ ( - )	burn (e.g. paper, grass, fabric)	35	d ɔ ⁵	dɔ́	1	1 7 8	897	AXT	35.T.C 35.U.V 35.6.T	brûler (papier, herbe, tissu, etc.)	141	Toro_Tegu	TU6	BURN (SOMETHING)	
1003	1.6 3.0 1.0	dɛ̌:	dɛ̌:	d ɛː ¹⁵ ( - )	burn (e.g. paper, grass, fabric)	25	d ɛː ¹⁵	dɛ̌:	0	1 7 8	897	AXT	25.T.C 25.E.V 25.2.T	brûler (papier, herbe, tissu, etc.)	141	Penange	TE2	BURN (SOMETHING)	
1004	1.6 3.0 1.0	dɔ́	dɔ́	d ɔ ⁵ ( - )	burn (e.g. paper, grass, fabric)	4	d ɔ ⁵	dɔ́	1	1 7 8	897	AXT	4.T.C 4.U.V 4.6.T	brûler (papier, herbe, tissu, etc.)	141	Bankan_Tey	TU6	BURN (SOMETHING)	
1005	1.6 3.0 1.0	dɛ̌:	dɛ̌:	d ɛː ¹⁵ ( - )	burn (e.g. paper, grass, fabric)	20	d ɛː ¹⁵	dɛ̌:	0	1 7 8	897	AXT	20.T.C 20.E.V 20.2.T	brûler (papier, herbe, tissu, etc.)	141	Jamsay	TE2	BURN (SOMETHING)	
1006	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	kùkúrèy	kùkúrèy	k u ¹ k u ⁵ r e ¹ j	[tr] sear, burn surface of, burn off (hair)	27	k u ¹ k u ⁵ r e ¹ j	kùkúrèy	0	1 7 8 1 7 8 5 7 8 6	916	AXTBYTBYTN	27.K.C 27.Y.V 27.6.T 27.K.C 27.Y.V 27.6.T 27.R.C 27.E.V 27.6.T 27.J.c	brûler (poils, surface) Za kúkùré , TSK kùkúrèy .	141	Songhai_Kiini	KY6KY6RE6J	BURN (SOMETHING)	
1007	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kùkúrê	kùkúrê	k u ¹ k u ⁵ r e ⁵¹ -	[tr] sear, burn surface of, burn off (hair)	28	k u ¹ k u ⁵ r e ⁵¹	kùkúrê	0	1 7 8 1 7 8 5 7 8	916	AXTBYTBYT	28.K.C 28.Y.V 28.6.T 28.K.C 28.Y.V 28.6.T 28.R.C 28.E.V 28.3.T	brûler (poils, surface) Za kúkùré , TSK kùkúrèy .	141	Songhai_Senni	KY6KY6RE3	BURN (SOMETHING)	
1008	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pē-rò	pē-rò	p e ³ ( + ) r o ¹	put down; bury (corpse)	3	p e ³ + r o ¹	pē-rò	0	1 7 8 9 5 7 8	926	AXT_AXT	3.P.C 3.E.V 3.6.T 3._._ 3.R.C 3.U.V 3.6.T	déposer; enterrer (cadavre)	1719	Bangime	PE6_RU6	BURY	
1009	1.6 3.0 1.0 1.3 3.0 1.0	fí:jí	fí:jí	f iː ⁵ dʒ i ⁵	[tr] bury	28	f iː ⁵ dʒ i ⁵	fí:jí	0	3 7 8 1 7 8	941	AXTBYT	28.B.C 28.I.V 28.6.T 28.T.C 28.I.V 28.6.T	enterrer	1719	Songhai_Senni	BI6TI6	BURY	
1010	2.0 1.5 1.75 0.8	tibi	tibi	t i b i	bury	14	t i b i	tibi	0	1 7 1 7	928	AXBZ	14.T.C 14.I.V 14.P.C 14.I.V	enterrer	1719	Bozo_Tieyaxo	TIPI	BURY	
1011	2.0 1.5 1.75 0.8	tibi	tibi	t i b i	bury	13	t i b i	tibi	0	1 7 1 7	928	AXBZ	13.T.C 13.I.V 13.P.C 13.I.V	enterrer	1719	Bozo_Tiema_Cewe	TIPI	BURY	
1012	1.6 3.0 1.0 1.3 3.0 1.0	bùrú	bùrú	b u ¹ r u ⁵	bury	29	b u ¹ r u ⁵	bùrú	0	1 7 8 5 7 8	942	AXTBYT	29.P.C 29.Y.V 29.6.T 29.R.C 29.Y.V 29.6.T	enterrer	1719	Soninke	PY6RY6	BURY	
1013	1.6 3.0 1.0 0.5	bǐw	bǐw	b i ¹⁵ w ( - ) !- !-	bury (sb)	35	b i ¹⁵ w	bǐw	0	1 7 8 6	945	AXTN	35.P.C 35.I.V 35.2.T 35.W.c	enterrer (qn)	1719	Toro_Tegu	PI2W	BURY	
1014	1.6 3.0 1.0 1.3 3.0 1.0	bɛ̀sí	bɛ̀sí	b ɛ ¹ ( - ) s i ⁵	bury (sb)	5	b ɛ ¹ s i ⁵	bɛ̀sí	0	1 7 8 3 7 8	926	AXTBYT	5.P.C 5.E.V 5.6.T 5.S.C 5.I.V 5.6.T	enterrer (qn)	1719	Ben_Tey	PE6SI6	BURY	
1015	1.6 3.0 1.0 1.3 3.0 1.0	bèsí	bèsí	b e ¹ ( - ) s i ⁵	bury (sb)	4	b e ¹ s i ⁵	bèsí	0	1 7 8 3 7 8	926	AXTBYT	4.P.C 4.E.V 4.6.T 4.S.C 4.I.V 4.6.T	enterrer (qn)	1719	Bankan_Tey	PE6SI6	BURY	
1016	1.6 3.0 1.0 1.1 1.3 3.0 1.0	bìyⁿɛ́	bìyⁿɛ́	b i ¹ j ( ∼ ) ɛ ⁵	bury (sb)	26	b i ¹ j ∼ ɛ ⁵	bìyⁿɛ́	0	1 7 8 6 4 7 8	945	AXTMBYT	26.P.C 26.I.V 26.6.T 26.J.c 26.9.C 26.E.V 26.6.T	enterrer (qn)	1719	Perge_Tegu	PI6J9E6	BURY	
1017	1.6 3.0 1.0 1.3 3.0 1.0	bèsá	bèsá	b e ¹ ( - ) s a ⁵	bury (sb)	19	b e ¹ s a ⁵	bèsá	0	1 7 8 3 7 8	926	AXTBYT	19.P.C 19.E.V 19.6.T 19.S.C 19.A.V 19.6.T	enterrer (qn)	1719	Gourou	PE6SA6	BURY	
1018	1.6 3.0 1.0 1.3 3.0 1.0	bìyɛ́	bìyɛ́	b i ¹ j ( - ) ɛ ⁵	bury (sb)	32	b i ¹ j ɛ ⁵	bìyɛ́	0	1 7 8 6 7 8	945	AXTBYT	32.P.C 32.I.V 32.6.T 32.J.C 32.E.V 32.6.T	enterrer (qn)	1719	Togo_Kan	PI6JE6	BURY	
1019	1.6 3.0 1.0 1.3 3.0 1.0	bòjó	bòjó	b o ¹ dʒ o ⁵	bury (sb)	37	b o ¹ dʒ o ⁵	bòjó	0	1 7 8 1 7 8	932	AXTBYT	37.P.C 37.U.V 37.6.T 37.T.C 37.U.V 37.6.T	enterrer (qn)	1719	Yorno_So	PU6TU6	BURY	
1020	1.6 3.0 1.0 1.3 3.0 1.0	bòdó	bòdó, ǹjí-ró, ádárá	b o ¹ d o ⁵	bury (sb)	33	b o ¹ d o ⁵	bòdó	0	1 7 8 1 7 8	932	AXTBYT	33.P.C 33.U.V 33.6.T 33.T.C 33.U.V 33.6.T	enterrer (qn)	1719	Tommo_So	PU6TU6	BURY	
1021	1.6 3.0 1.0 1.3 3.0 1.0	bìsé	bìsé, bìgɛ́	b i ¹ ( - ) s e ⁵	bury (sb)	16	b i ¹ s e ⁵	bìsé	0	1 7 8 3 7 8	926	AXTBYT	16.P.C 16.I.V 16.6.T 16.S.C 16.E.V 16.6.T	enterrer (qn)	1719	Dogul_Dom	PI6SE6	BURY	
1022	1.6 3.0 1.0 1.1 1.3 3.0 1.0	cɛ́ndí	cɛ́ndí (cɛ́ndí-tì-), bèdé (bèdé-tì-)	tʃ ɛ ⁵ n d i ⁵	bury (sb)	30	tʃ ɛ ⁵ n d i ⁵	cɛ́ndí	0	1 7 8 4 1 7 8	943	AXTMBYT	30.T.C 30.E.V 30.6.T 30.N.c 30.T.C 30.I.V 30.6.T	enterrer (qn)	1719	Tebul_Ure	TE6NTI6	BURY	
1023	1.6 3.0 1.0 1.3 3.0 1.0	bèzé	bèzé	b e ¹ ( - ) z e ⁵	bury (sb)	36	b e ¹ z e ⁵	bèzé	0	1 7 8 3 7 8	926	AXTBYT	36.P.C 36.E.V 36.6.T 36.S.C 36.E.V 36.6.T	enterrer (qn)	1719	Yanda_Dom	PE6SE6	BURY	
1024	1.6 3.0 1.0 1.3 3.0 1.0	bèjí	bèjí	b e ¹ dʒ i ⁵	bury (sb)	23	b e ¹ dʒ i ⁵	bèjí	0	1 7 8 1 7 8	932	AXTBYT	23.P.C 23.E.V 23.6.T 23.T.C 23.I.V 23.6.T	enterrer (qn)	1719	Najamba	PE6TI6	BURY	
1025	1.6 3.0 1.0 1.1 1.3 3.0 1.0	díŋgè	díŋgè	d i ⁵ ŋ ɡ e ¹	bury (sb)	15	d i ⁵ ŋ ɡ e ¹	díŋgè	0	1 7 8 4 1 7 8	930	AXTMBYT	15.T.C 15.I.V 15.6.T 15.N.c 15.K.C 15.E.V 15.6.T	enterrer (qn)	1719	Bunoge	TI6NKE6	BURY	
1026	1.6 3.0 1.0 1.3 3.0 1.0	bèjé	bɔ̌:, bèjé	b e ¹ dʒ e ⁵	bury (sb)	20	b e ¹ dʒ e ⁵	bèjé	0	1 7 8 1 7 8	932	AXTBYT	20.P.C 20.E.V 20.6.T 20.T.C 20.E.V 20.6.T	enterrer (qn)	1719	Jamsay	PE6TE6	BURY	
1027	1.6 3.0 1.0 1.3 3.0 1.0	bìgé	bìgé	b i ¹ ɡ e ⁵	bury (sb)	17	b i ¹ ɡ e ⁵	bìgé	0	1 7 8 1 7 8	932	AXTBYT	17.P.C 17.I.V 17.6.T 17.K.C 17.E.V 17.6.T	enterrer (qn)	1719	Donno_So	PI6KE6	BURY	
1028	1.6 3.0 1.0	bɔ̌:	bɔ̌:, bèjé	b ɔː ¹⁵ ( - ) - - - -	bury (sb)	20	b ɔː ¹⁵	bɔ̌:	0	1 7 8	951	AXT	20.P.C 20.U.V 20.2.T	enterrer (qn)	1719	Jamsay	PU2	BURY	
1029	1.6 3.0 1.0 1.3 3.0 1.0	bì:rì	bì:rì	b iː ¹ r i ¹	bury (sb)	34	b iː ¹ r i ¹	bì:rì	0	1 7 8 5 7 8	942	AXTBYT	34.P.C 34.I.V 34.6.T 34.R.C 34.I.V 34.6.T	enterrer (qn)	1719	Tomo_Kan	PI6RI6	BURY	
1030	1.6 3.0 1.0 1.3 3.0 1.0	béjó	béjó, dúŋgó	b e ⁵ dʒ o ⁵	bury (sb)	31	b e ⁵ dʒ o ⁵	béjó	0	1 7 8 1 7 8	932	AXTBYT	31.P.C 31.E.V 31.6.T 31.T.C 31.U.V 31.6.T	enterrer (qn)	1719	Tiranige_Diga	PE6TU6	BURY	
1031	1.6 3.0 1.0 1.1 1.3 3.0 1.0	díŋgé	díŋgé	d i ⁵ ŋ ɡ e ⁵	bury (sb)	22	d i ⁵ ŋ ɡ e ⁵	díŋgé	0	1 7 8 4 1 7 8	930	AXTMBYT	22.T.C 22.I.V 22.6.T 22.N.c 22.K.C 22.E.V 22.6.T	enterrer (qn)	1719	Mombo	TI6NKE6	BURY	
1032	1.5 0.8 0.0 1.5 1.75 0.8	ir-ude	irude	i r + u d e	bury (sb)	18	i r + u d e	ir-ude	0	7 5 9 7 1 7	933	XN_XBZ	18.I.V 18.R.c 18._._ 18.Y.V 18.T.C 18.E.V	enterrer (qn)	1719	Fulfulde	IR_YTE	BURY	
1033	1.6 3.0 1.0 1.3 3.0 1.0	bɛ̀sí	bɛ̀sí	b ɛ ¹ ( - ) s i ⁵	bury (sb)	24	b ɛ ¹ s i ⁵	bɛ̀sí	0	1 7 8 3 7 8	926	AXTBYT	24.P.C 24.E.V 24.6.T 24.S.C 24.I.V 24.6.T	enterrer (qn)	1719	Nanga	PE6SI6	BURY	
1034	1.6 3.0 1.0 1.1 1.3 3.0 1.0	díŋgé	díŋgé	d i ⁵ ŋ ɡ e ⁵	bury (sb)	25	d i ⁵ ŋ ɡ e ⁵	díŋgé	0	1 7 8 4 1 7 8	930	AXTMBYT	25.T.C 25.I.V 25.6.T 25.N.c 25.K.C 25.E.V 25.6.T	enterrer (qn)	1719	Penange	TI6NKE6	BURY	
1035	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ɥàà-rà	ɥàà-rà	ɥ aː ¹ + r a ¹	buy	3	ɥ aː ¹ + r a ¹	ɥàà-rà	0	6 7 8 9 5 7 8	953	AXT_AXT	3.J.C 3.A.V 3.6.T 3._._ 3.R.C 3.A.V 3.6.T	acheter	1869	Bangime	JA6_RA6	BUY	
1036	2.0 1.5 1.3 0.8 0.0 1.5 1.75 0.8	sood-ude	soodude	s o: d + u d e	buy	18	s o o d + u d e	sood-ude	0	3 7 7 1 9 7 1 7	958	AXYN_XBZ	18.S.C 18.U.V 18.U.V 18.T.c 18._._ 18.Y.V 18.T.C 18.E.V	acheter	1869	Fulfulde	SUUT_YTE	BUY	
1037	3.0 1.0 0.0 1.6 3.0 1.0 1.1 0.5	ā-sàwⁿ	ā-sàwⁿ	( a ³ + ) s a ¹ w̃ ∼	buy	21	a ³ + s a ¹ w̃ ∼	ā-sàwⁿ	0	7 8 9 3 7 8 6 4	952	XT_AXTLN	21.A.V 21.6.T 21._._ 21.S.C 21.A.V 21.6.T 21.W.c 21.9.c	acheter	1869	Jenaama	A6_SA6W9	BUY	
1038	3.0 1.0 1.3 3.0 1.0	ɛ́bɛ́	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	buy	36	ɛ ⁵ b ɛ ⁵	ɛ́bɛ́	0	7 8 1 7 8	972	XTBYT	36.E.V 36.6.T 36.P.C 36.E.V 36.6.T	acheter	1869	Yanda_Dom	E6PE6	BUY	
1039	3.0 1.0 1.3 3.0 1.0	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy	24	ɛ ⁵ w ɛ ⁵	ɛ́wɛ́	1	7 8 6 7 8	972	XTBYT	24.E.V 24.6.T 24.W.C 24.E.V 24.6.T	acheter	1869	Nanga	E6WE6	BUY	
1040	3.0 1.0 1.3 3.0 1.0	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy	26	ɛ ⁵ w ɛ ⁵	ɛ́wɛ́	1	7 8 6 7 8	972	XTBYT	26.E.V 26.6.T 26.W.C 26.E.V 26.6.T	acheter	1869	Perge_Tegu	E6WE6	BUY	
1041	3.0 1.0 1.3 3.0 1.0	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy	32	ɛ ⁵ w ɛ ⁵	ɛ́wɛ́	1	7 8 6 7 8	972	XTBYT	32.E.V 32.6.T 32.W.C 32.E.V 32.6.T	acheter	1869	Togo_Kan	E6WE6	BUY	
1042	3.0 1.0 1.3 3.0 1.0	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy	4	ɛ ⁵ w ɛ ⁵	ɛ́wɛ́	0	7 8 6 7 8	972	XTBYT	4.E.V 4.6.T 4.W.C 4.E.V 4.6.T	acheter	1869	Bankan_Tey	E6WE6	BUY	
1043	3.0 1.0 1.3 3.0 1.0	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy	20	ɛ ⁵ w ɛ ⁵	ɛ́wɛ́	1	7 8 6 7 8	972	XTBYT	20.E.V 20.6.T 20.W.C 20.E.V 20.6.T	acheter	1869	Jamsay	E6WE6	BUY	
1044	3.0 1.0 0.5	ɛ́w	ɛ́w	ɛ ⁵ w - -	buy, purchase	35	ɛ ⁵ w	ɛ́w	0	7 8 6	972	XTN	35.E.V 35.6.T 35.W.c	acheter	1869	Toro_Tegu	E6W	BUY	
1045	3.0 1.0 1.3 3.0 1.0	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy, purchase	5	ɛ ⁵ w ɛ ⁵	ɛ́wɛ́	0	7 8 6 7 8	972	XTBYT	5.E.V 5.6.T 5.W.C 5.E.V 5.6.T	acheter	1869	Ben_Tey	E6WE6	BUY	
1046	3.0 1.0 1.3 3.0 1.0	ɛ́bɛ́	ɛ́bɛ́-	ɛ ⁵ b ɛ ⁵	buy, purchase	37	ɛ ⁵ b ɛ ⁵	ɛ́bɛ́	0	7 8 1 7 8	972	XTBYT	37.E.V 37.6.T 37.P.C 37.E.V 37.6.T	acheter	1869	Yorno_So	E6PE6	BUY	
1047	3.0 1.0 1.3 3.0 1.0	ɛ́bɛ́	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	buy, purchase	33	ɛ ⁵ b ɛ ⁵	ɛ́bɛ́	0	7 8 1 7 8	972	XTBYT	33.E.V 33.6.T 33.P.C 33.E.V 33.6.T	acheter	1869	Tommo_So	E6PE6	BUY	
1048	3.0 1.0 1.3 3.0 1.0	ɛ́bɛ̀	ɛ́bɛ̀	ɛ ⁵ b ɛ ¹	buy, purchase	16	ɛ ⁵ b ɛ ¹	ɛ́bɛ̀	0	7 8 1 7 8	972	XTBYT	16.E.V 16.6.T 16.P.C 16.E.V 16.6.T	acheter	1869	Dogul_Dom	E6PE6	BUY	
1049	3.0 1.0 1.3 3.0 1.0	ɛ́bɛ́	ɛ́bɛ́ (ɛ́bɛ́-tì-, ɛ̀bà-lí-)	ɛ ⁵ b ɛ ⁵	buy, purchase	30	ɛ ⁵ b ɛ ⁵	ɛ́bɛ́	1	7 8 1 7 8	972	XTBYT	30.E.V 30.6.T 30.P.C 30.E.V 30.6.T	acheter	1869	Tebul_Ure	E6PE6	BUY	
1050	1.6 3.0 1.0 1.3 3.0 1.0	dɔ̀nɛ́	dɔ̀nɛ́	d ɔ ¹ n ɛ ⁵	buy, purchase	23	d ɔ ¹ n ɛ ⁵	dɔ̀nɛ́	0	1 7 8 4 7 8	962	AXTBYT	23.T.C 23.U.V 23.6.T 23.N.C 23.E.V 23.6.T	acheter	1869	Najamba	TU6NE6	BUY	
